,global_route_id,itineraries,mode_name,real_time_route_id,route_color,route_long_name,route_network_id,route_network_name,route_short_name,route_text_color,route_type,sorting_key,tts_long_name,tts_short_name,time
0,BBB:69580,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685376385, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905323', 'scheduled_departure_time': 1685376360, 'trip_search_key': 'BBB:42306065:43:6:0', 'wheelchair_accessible': 1}, {'departure_time': 1685378105, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905322', 'scheduled_departure_time': 1685378160, 'trip_search_key': 'BBB:42306065:43:6:1', 'wheelchair_accessible': 1}, {'departure_time': 1685380051, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905321', 'scheduled_departure_time': 1685380140, 'trip_search_key': 'BBB:42306065:43:6:2', 'wheelchair_accessible': 1}]}]",Bus,3619,00549e,UCLA - Marina Del Rey,Big Blue Bus|Los Angeles,Big Blue Bus,18,ffffff,3,18,UCLA - Marina Del Rey,18,2023-05-29 09:00:09.155017
1,BBB:82618,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685377227, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905163', 'scheduled_departure_time': 1685377140, 'trip_search_key': 'BBB:42306065:41:6:2', 'wheelchair_accessible': 1}, {'departure_time': 1685378900, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905161', 'scheduled_departure_time': 1685378940, 'trip_search_key': 'BBB:42306065:41:6:3', 'wheelchair_accessible': 1}, {'departure_time': 1685380789, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905160', 'scheduled_departure_time': 1685380800, 'trip_search_key': 'BBB:42306065:41:6:4', 'wheelchair_accessible': 1}]}]",Bus,3618,00549e,Culver City Station - UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,17,ffffff,3,17,Culver City Station - UCLA,17,2023-05-29 09:00:09.155017
2,BBB:14413,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685378535, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '903200', 'scheduled_departure_time': 1685378700, 'trip_search_key': 'BBB:42306065:9:6:0', 'wheelchair_accessible': 1}, {'departure_time': 1685380863, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '903199', 'scheduled_departure_time': 1685380560, 'trip_search_key': 'BBB:42306065:9:6:1', 'wheelchair_accessible': 1}, {'departure_time': 1685382660, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903198', 'scheduled_departure_time': 1685382660, 'trip_search_key': 'BBB:42306065:9:6:2', 'wheelchair_accessible': 1}]}]",Bus,3605,00549e,Wilshire Blvd / UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,2,ffffff,3,2,Wilshire Blvd / UCLA,2,2023-05-29 09:00:09.155017
0,BBB:82618,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685376963, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905163', 'scheduled_departure_time': 1685377140, 'trip_search_key': 'BBB:42306065:41:6:2', 'wheelchair_accessible': 1}, {'departure_time': 1685378908, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905161', 'scheduled_departure_time': 1685378940, 'trip_search_key': 'BBB:42306065:41:6:3', 'wheelchair_accessible': 1}, {'departure_time': 1685380764, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905160', 'scheduled_departure_time': 1685380800, 'trip_search_key': 'BBB:42306065:41:6:4', 'wheelchair_accessible': 1}]}]",Bus,3618,00549e,Culver City Station - UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,17,ffffff,3,17,Culver City Station - UCLA,17,2023-05-29 09:10:40.787501
1,BBB:69580,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685378094, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905322', 'scheduled_departure_time': 1685378160, 'trip_search_key': 'BBB:42306065:43:6:1', 'wheelchair_accessible': 1}, {'departure_time': 1685380051, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905321', 'scheduled_departure_time': 1685380140, 'trip_search_key': 'BBB:42306065:43:6:2', 'wheelchair_accessible': 1}, {'departure_time': 1685381517, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '905320', 'scheduled_departure_time': 1685381640, 'trip_search_key': 'BBB:42306065:43:6:3', 'wheelchair_accessible': 1}]}]",Bus,3619,00549e,UCLA - Marina Del Rey,Big Blue Bus|Los Angeles,Big Blue Bus,18,ffffff,3,18,UCLA - Marina Del Rey,18,2023-05-29 09:10:40.787501
2,BBB:14413,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685378533, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '903200', 'scheduled_departure_time': 1685378700, 'trip_search_key': 'BBB:42306065:9:6:0', 'wheelchair_accessible': 1}, {'departure_time': 1685380851, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '903199', 'scheduled_departure_time': 1685380560, 'trip_search_key': 'BBB:42306065:9:6:1', 'wheelchair_accessible': 1}, {'departure_time': 1685382660, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903198', 'scheduled_departure_time': 1685382660, 'trip_search_key': 'BBB:42306065:9:6:2', 'wheelchair_accessible': 1}]}]",Bus,3605,00549e,Wilshire Blvd / UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,2,ffffff,3,2,Wilshire Blvd / UCLA,2,2023-05-29 09:10:40.787501
0,BBB:69580,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685378034, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905322', 'scheduled_departure_time': 1685378160, 'trip_search_key': 'BBB:42306065:43:6:1', 'wheelchair_accessible': 1}, {'departure_time': 1685380051, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905321', 'scheduled_departure_time': 1685380140, 'trip_search_key': 'BBB:42306065:43:6:2', 'wheelchair_accessible': 1}, {'departure_time': 1685381517, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '905320', 'scheduled_departure_time': 1685381640, 'trip_search_key': 'BBB:42306065:43:6:3', 'wheelchair_accessible': 1}]}]",Bus,3619,00549e,UCLA - Marina Del Rey,Big Blue Bus|Los Angeles,Big Blue Bus,18,ffffff,3,18,UCLA - Marina Del Rey,18,2023-05-29 09:21:12.152298
1,BBB:14413,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685378533, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '903200', 'scheduled_departure_time': 1685378700, 'trip_search_key': 'BBB:42306065:9:6:0', 'wheelchair_accessible': 1}, {'departure_time': 1685380715, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '903199', 'scheduled_departure_time': 1685380560, 'trip_search_key': 'BBB:42306065:9:6:1', 'wheelchair_accessible': 1}, {'departure_time': 1685382660, 'is_cancelled': False, 'is_real_time': False, 'rt_trip_id': '903198', 'scheduled_departure_time': 1685382660, 'trip_search_key': 'BBB:42306065:9:6:2', 'wheelchair_accessible': 1}]}]",Bus,3605,00549e,Wilshire Blvd / UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,2,ffffff,3,2,Wilshire Blvd / UCLA,2,2023-05-29 09:21:12.152298
2,BBB:82618,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685378958, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905161', 'scheduled_departure_time': 1685378940, 'trip_search_key': 'BBB:42306065:41:6:3', 'wheelchair_accessible': 1}, {'departure_time': 1685380688, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905160', 'scheduled_departure_time': 1685380800, 'trip_search_key': 'BBB:42306065:41:6:4', 'wheelchair_accessible': 1}, {'departure_time': 1685382660, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905159', 'scheduled_departure_time': 1685382660, 'trip_search_key': 'BBB:42306065:41:6:5', 'wheelchair_accessible': 1}]}]",Bus,3618,00549e,Culver City Station - UCLA,Big Blue Bus|Los Angeles,Big Blue Bus,17,ffffff,3,17,Culver City Station - UCLA,17,2023-05-29 09:21:12.152298
0,BBB:69580,"[{'branch_code': '', 'direction_headsign': 'UCLA', 'direction_id': 0, 'headsign': 'UCLA', 'merged_headsign': 'UCLA', 'schedule_items': [{'departure_time': 1685377944, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905322', 'scheduled_departure_time': 1685378160, 'trip_search_key': 'BBB:42306065:43:6:1', 'wheelchair_accessible': 1}, {'departure_time': 1685380051, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905321', 'scheduled_departure_time': 1685380140, 'trip_search_key': 'BBB:42306065:43:6:2', 'wheelchair_accessible': 1}, {'departure_time': 1685381543, 'is_cancelled': False, 'is_real_time': True, 'rt_trip_id': '905320', 'scheduled_departure_time': 1685381640, 'trip_search_key': 'BBB:42306065:43:6:3', 'wheelchair_accessible': 1}]}]",Bus,3619,00549e,UCLA - Marina Del Rey,Big Blue Bus|Los Angeles,Big Blue Bus,18,ffffff,3,18,UCLA - Marina Del Rey,18,2023-05-29 09:31:43.516854
